Name,Position,Base Salary,Roster Bonus,Signing Bonus,Cap Hit
Zach Allen,DE,-,0-,0-,"$779,595 "
Hakeem Butler,WR,-,0-,0-,"$741,125 "
Deionte Thompson,S,-,0-,0-,"$582,208 "
Keesean Johnson,WR,-,0-,0-,"$547,128 "
Lamont Gaillard,C,-,0-,0-,"$541,854 "
Joshua Miles,T,-,0-,0-,"$513,572 "
Michael Dogbe,DE,-,0-,0-,"$513,572 "
Caleb Wilson,TE,-,0-,0-,"$513,572 "
Josh Rosen,QB,-,0-,0-,"$8,158,776 "
Jermaine Gresham,TE,"$2,250,000",0-,0-,"$5,750,000 "
Sam Bradford,QB,-,0-,0-,"$5,000,000 "
Mike Iupati,G,-,0-,0-,"$3,742,500 "
Mike Glennon,QB,-,0-,0-,"$3,000,000 "
Antoine Bethea,FS,-,0-,0-,"$2,159,168 "
Andre Smith,RT,-,0-,0-,"$1,292,500 "
Josh Bynes,ILB,-,0-,0-,"$666,667 "
Brice Butler,WR,-,0-,0-,"$150,000 "
Will Holden,T,-,0-,0-,"$134,064 "
Chris Campbell,CB,-,0-,0-,"$128,054 "
Evan Boehm,G,-,0-,0-,"$126,620 "
Matt Ryan,QB,"$2,750,000",0-,"$9,300,000","$15,800,000 "
Desmond Trufant,CB,"$9,500,000",0-,"$3,000,000","$13,900,000 "
Julio Jones,WR,"$9,600,000",0-,"$2,400,000","$13,466,667 "
Vic Beasley,DE,"$12,810,000",0-,0-,"$12,810,000 "
Jake Matthews,LT,"$6,500,000",0-,"$2,789,200","$11,089,200 "
Alex Mack,C,"$8,500,000",0-,"$2,300,000","$11,050,000 "
Mohamed Sanu,WR,"$6,000,000",0-,"$1,400,000","$7,650,000 "
Devonta Freeman,RB,"$3,750,000",0-,"$3,000,000","$6,750,000 "
Ricardo Allen,SS,"$3,500,000",0-,"$1,375,000","$4,875,000 "
Jamon Brown,G,"$2,500,000",0-,"$1,833,333","$4,333,333 "
Jack Crawford,DT,"$2,550,000","$275,000","$833,334","$3,658,334 "
Keanu Neal,FS,"$1,914,224",0-,"$1,502,299","$3,416,523 "
Ty Sambrailo,RT,"$2,000,000","$250,000","$1,000,000","$3,250,000 "
James Carpenter,G,"$2,000,000",0-,"$875,000","$2,875,000 "
Takkarist McKinley,DE,"$1,393,775",0-,"$1,392,551","$2,786,326 "
Chris Lindstrom,G,"$495,000",0-,"$2,171,012","$2,666,012 "
Matt Bosher,P,"$2,545,000",0-,0-,"$2,545,000 "
Calvin Ridley,WR,"$975,487",0-,"$1,501,947","$2,477,434 "
Austin Hooper,TE,"$2,025,000",0-,"$193,357","$2,218,357 "
De'Vondre Campbell,OLB,"$2,025,000",0-,"$141,382","$2,166,382 "
Luke Stocker,TE,"$1,400,000",0-,"$750,000","$2,150,000 "
Wes Schweitzer,G,"$2,025,000",0-,"$33,096","$2,058,096 "
Adrian Clayborn,DE,"$930,000","$280,000","$750,000","$1,960,000 "
Kaleb McGary,RT,"$495,000",0-,"$1,371,498","$1,866,498 "
Deion Jones,ILB,"$1,069,860",0-,"$376,482","$1,446,342 "
Matt Schaub,QB,"$1,030,000",0-,"$375,000","$1,405,000 "
Isaiah Oliver,CB,"$690,757",0-,"$363,026","$1,053,783 "
Duke Riley,LB,"$726,500",0-,"$222,438","$948,938 "
Josh Harris,LS,"$930,000",0-,0-,"$930,000 "
Deadrin Senat,DT,"$622,000",0-,"$204,490","$826,490 "
Logan Paulsen,TE,"$930,000",0-,"$90,000","$735,000 "
Kenjon Barner,RB,"$805,000","$50,000","$40,000","$735,000 "
Tyeler Davison,DT,"$805,000",0-,"$90,000","$735,000 "
Justin Hardy,WR,"$805,000",0-,"$90,000","$735,000 "
Kemal Ishmael,OLB,"$805,000",0-,"$90,000","$735,000 "
J.J. Wilcox,FS,"$805,000",0-,"$90,000","$735,000 "
Blidi Wreh-Wilson,CB,"$805,000",0-,"$90,000","$735,000 "
Ito Smith,RB,"$570,000",0-,"$155,218","$725,218 "
Sharrod Neasman,S,"$720,000",0-,0-,"$720,000 "
John Wetzel,G,"$720,000",0-,0-,"$720,000 "
Damontae Kazee,S,"$645,000",0-,"$72,230","$717,230 "
Eric Saubert,TE,"$645,000",0-,"$56,847","$701,847 "
Kendall Sheffield,CB,"$495,000",0-,"$189,197","$684,197 "
Ra'Shede Hageman,DE,"$635,294",0-,"$15,000","$650,294 "
Bruce Carter,OLB,"$930,000",0-,0-,"$645,000 "
Adam Gettis,G,"$805,000",0-,0-,"$645,000 "
Michael Bennett,DT,"$645,000",0-,0-,"$645,000 "
Brian Hill,RB,"$645,000",0-,0-,"$645,000 "
Giorgio Tavecchio,K,"$645,000",0-,0-,"$645,000 "
John Cominsky,DE,"$495,000",0-,"$122,098","$617,098 "
Russell Gage,WR,"$570,000",0-,"$39,048","$609,048 "
Foyesade Oluokun,LB,"$570,000",0-,"$36,657","$606,657 "
Qadree Ollison,RB,"$495,000",0-,"$77,891","$572,891 "
Matt Gono,T,"$570,000",0-,"$2,500","$572,500 "
Jermaine Grace,OLB,"$570,000",0-,0-,"$570,000 "
Sean Harlow,G,"$570,000",0-,0-,"$570,000 "
Dieugot Joseph,T,"$570,000",0-,0-,"$570,000 "
Ryan Neal,FS,"$570,000",0-,0-,"$570,000 "
Chris Odom,DE,"$570,000",0-,0-,"$570,000 "
Ricky Ortiz,FB,"$570,000",0-,0-,"$570,000 "
Justin Zimmer,DT,"$570,000",0-,0-,"$570,000 "
Jordan Miller,CB,"$495,000",0-,"$58,497","$553,497 "
Marcus Green,WR,"$495,000",0-,"$36,963","$531,963 "
Rashard Causey,CB,"$495,000",0-,"$3,333","$498,333 "
Yurik Bethune,OLB,"$495,000",0-,"$1,166","$496,166 "
Parker Baldwin,S,"$495,000",0-,$833,"$495,833 "
Lanard Bonner,TE,"$495,000",0-,$666,"$495,666 "
Shawn Bane,WR,"$495,000",0-,$500,"$495,500 "
Kurt Benkert,QB,"$495,000",0-,0-,"$495,000 "
Christian Blake,WR,"$495,000",0-,0-,"$495,000 "
Tony Brooks-James,RB,"$495,000",0-,0-,"$495,000 "
Travez Calhoun,S,"$495,000",0-,0-,"$495,000 "
Chris Cooper,S,"$495,000",0-,0-,"$495,000 "
Tre Crawford,OLB,"$495,000",0-,0-,"$495,000 "
Jaeden Graham,TE,"$495,000",0-,0-,"$495,000 "
Alex Gray,TE,"$495,000",0-,0-,"$495,000 "
Devin Gray,WR,"$495,000",0-,0-,"$495,000 "
Austin Larkin,DE,"$495,000",0-,0-,"$495,000 "
Kahlil Lewis,WR,"$495,000",0-,0-,"$495,000 "
Durrant Miles,DE,"$495,000",0-,0-,"$495,000 "
Chandler Miller,C,"$495,000",0-,0-,"$495,000 "
Del'Shawn Phillips,LB,"$495,000",0-,0-,"$495,000 "
Jaelin Robinson,T,"$495,000",0-,0-,"$495,000 "
Jayson Stanley,WR,"$495,000",0-,0-,"$495,000 "
Jason Thompson,S,"$495,000",0-,0-,"$495,000 "
Jacob Tuioti-Mariner,DT,"$495,000",0-,0-,"$495,000 "
Kyle Vasey,LS,"$495,000",0-,0-,"$495,000 "
C.J. Worton,WR,"$495,000",0-,0-,"$495,000 "
Olamide Zaccheaus,WR,"$495,000",0-,0-,"$495,000 "
Steven Means,DE,"$805,000",-,"$90,000","$735,000 "
Jeremy Langford,RB,"$408,000",-,-,"$408,000 "
Chris Lindstrom,G,-,-,-,"$2,666,011 "
Kaleb McGary,T,-,-,-,"$1,861,270 "
Kendall Sheffield,CB,-,-,-,"$684,197 "
John Cominsky,DE,-,-,-,"$616,633 "
Qadree Ollison,RB,-,-,-,"$572,593 "
Jordan Miller,CB,-,-,-,"$553,497 "
Marcus Green,WR,-,-,-,"$531,824 "
Brandon Fusco,G,-,-,-,"$1,500,000 "
Matt Bryant,K,-,-,-,"$1,333,334 "
Ryan Schraeder,RT,-,-,-,"$1,300,000 "
Robert Alford,CB,-,-,-,"$1,200,000 "
Levine Toilolo,TE,-,-,-,"$1,000,000 "
Brooks Reed,DE,-,-,-,"$940,000 "
Sean Harlow,G,-,-,-,"$273,248 "
Devin Fuller,WR,-,-,-,"$18,446 "
Kurt Benkert,QB,-,-,-,"$6,667 "
Jacob Tuioti-Mariner,DT,-,-,-,"$6,667 "
Chris Lammons,CB,-,-,-,"$3,334 "
Daniel Marx,FB,-,-,-,"$3,334 "
Jimmy Smith,CB,"$9,500,000",0-,"$2,600,000","$15,850,685 "
Brandon Williams,DT,"$9,250,000",0-,"$2,500,000","$14,170,000 "
Tony Jefferson,SS,"$8,000,000",0-,"$2,500,000","$12,656,666 "
Marshal Yanda,G,"$2,000,000",0-,"$5,800,000","$9,125,222 "
Willie Snead,WR,"$3,000,000","$1,000,000","$1,000,000","$7,200,000 "
Brandon Carr,CB,"$4,500,000","$1,500,000","$1,000,000","$7,000,000 "
Earl Thomas,FS,"$2,000,000",0-,"$5,000,000","$7,000,000 "
Ronnie Stanley,LT,"$3,243,318",0-,"$3,274,426","$6,517,744 "
James Hurst,RT,"$3,500,000",0-,"$1,250,000","$4,750,000 "
Justin Tucker,K,"$1,000,000",0-,"$3,100,000","$4,696,668 "
Sam Koch,P,"$3,150,000",0-,"$800,000","$3,950,000 "
