Name,Position,Base Salary,Roster Bonus,Signing Bonus,Cap Hit
Mik'Quan Deane,TE,"$495,000",0-,0-,"$495,000 "
Tyrel Dodson,LB,"$495,000",0-,0-,"$495,000 "
Cam Lewis,CB,"$495,000",0-,0-,"$495,000 "
Garrett McGhin,T,"$495,000",0-,0-,"$495,000 "
Chase McLaughlin,K,"$495,000",0-,0-,"$495,000 "
L.T. Walton,DT,"$495,000",0-,0-,"$495,000 "
Duke Williams,WR,"$495,000",0-,0-,"$495,000 "
Dawson Knox,TE,0-,0-,0-,0- 
Christian Wade,RB,"$495,000",-,-,"$495,000 "
Ed Oliver,DT,-,-,-,"$3,565,521 "
Cody Ford,RT,-,-,-,"$1,361,674 "
Devin Singletary,RB,-,-,-,"$752,968 "
Dawson Knox,TE,-,-,-,"$685,379 "
Vosean Joseph,LB,-,-,-,"$575,324 "
Jaquan Johnson,S,-,-,-,"$540,909 "
Darryl Johnson,OLB,-,-,-,"$519,522 "
Tommy Sweeney,TE,-,-,-,"$519,046 "
Charles Clay,TE,-,-,-,"$4,500,000 "
A.J. McCarron,QB,-,-,-,"$2,000,000 "
Chris Ivory,RB,-,-,-,"$750,000 "
Andre Holmes,WR,-,-,-,"$550,000 "
Adolphus Washington,DT,-,-,-,"$188,574 "
Nathan Peterman,QB,-,-,-,"$119,748 "
Derek Anderson,QB,-,-,-,"$90,000 "
Tanner Vallejo,OLB,-,-,-,"$76,898 "
Austin Proehl,WR,-,-,-,"$51,803 "
Jake Fisher,TE,-,-,-,"$15,000 "
Robert Foster,WR,-,-,-,"$8,000 "
Keith Towbridge,TE,-,-,-,"$2,500 "
Cam Newton,QB,"$16,200,000",0-,"$4,500,000","$23,200,000 "
Kawann Short,DT,"$12,500,000",0-,"$4,000,000","$17,000,000 "
Mario Addison,DE,"$6,500,000","$500,000","$2,666,668","$10,666,668 "
Luke Kuechly,ILB,"$950,059",0-,"$3,800,000","$9,962,573 "
Dontari Poe,DT,"$4,500,000","$600,000","$3,333,333","$9,333,333 "
Shaq Thompson,OLB,"$9,232,000",0-,0-,"$9,232,000 "
Trai Turner,G,"$5,297,000","$500,000","$3,000,000","$8,797,000 "
Gerald McCoy,DT,"$3,000,000","$937,500","$4,000,000","$8,437,500 "
Greg Olsen,TE,"$1,900,000","$562,500","$3,700,000","$6,662,500 "
Daryl Williams,RT,"$2,250,000","$46,875","$3,000,000","$5,296,875 "
Christian McCaffrey,RB,"$2,032,390",0-,"$2,669,782","$4,702,172 "
Eric Reid,SS,"$1,500,000","$406,250","$2,500,000","$4,406,250 "
Bruce Irvin,DE,"$1,250,000","$1,000,000","$1,500,000","$4,000,000 "
Matt Paradis,C,"$1,000,000","$562,500","$1,800,000","$3,862,500 "
Graham Gano,K,"$1,950,000","$150,000","$1,537,500","$3,687,500 "
Ross Cockrell,CB,"$2,300,000",0-,"$1,200,000","$3,600,000 "
Torrey Smith,WR,"$3,000,000",0-,0-,"$3,000,000 "
Vernon Butler,DT,"$1,594,979",0-,"$1,076,639","$2,671,618 "
D.J. Moore,WR,"$987,787",0-,"$1,551,148","$2,538,935 "
Jarius Wright,WR,"$1,500,000",0-,"$666,666","$2,466,666 "
Curtis Samuel,WR,"$1,051,698",0-,"$708,397","$1,760,095 "
Tyler Larsen,C,"$900,000","$300,000","$466,666","$1,716,666 "
Chris Hogan,WR,"$825,000","$300,000","$300,000","$1,450,000 "
Michael Palardy,P,"$800,000",0-,"$500,000","$1,400,000 "
Kyle Love,DT,"$930,000","$200,000","$200,000","$1,350,000 "
Colin Jones,FS,"$930,000","$110,000","$200,000","$1,290,000 "
James Bradberry,CB,"$990,114",0-,"$270,152","$1,260,266 "
J.J. Jansen,LS,"$1,030,000",0-,"$140,000","$1,170,000 "
Taylor Moton,LT,"$843,014",0-,"$291,028","$1,134,042 "
Donte Jackson,CB,"$698,751",0-,"$395,004","$1,093,755 "
Greg Van,G,"$805,000",0-,"$50,000","$1,080,000 "
Rashaan Gaulden,FS,"$595,250",0-,"$211,914","$837,164 "
Lorenzo Doss,CB,"$805,000",0-,0-,"$805,000 "
Taylor Heinicke,QB,"$805,000",0-,0-,"$805,000 "
Aldrick Robinson,WR,"$805,000",0-,0-,"$805,000 "
Jared Norris,OLB,"$720,000",0-,"$75,000","$795,000 "
Ian Thomas,TE,"$570,000",0-,"$186,998","$756,998 "
Cameron Artis-Payne,RB,"$805,000",0-,"$90,000","$735,000 "
Destiny Vaeao,DT,"$720,000",0-,"$5,000","$725,000 "
Javien Elliott,CB,"$720,000",0-,0-,"$720,000 "
Kevon Seymour,CB,"$720,000",0-,0-,"$720,000 "
Ian Silberman,G,"$720,000",0-,0-,"$720,000 "
Corn Elder,CB,"$645,000",0-,"$69,474","$714,474 "
Will Grier,QB,"$495,000",0-,"$205,545","$700,545 "
Marquis Haynes,DE,"$570,000",0-,"$113,089","$683,089 "
Christian Miller,DE,"$495,000",0-,"$183,552","$678,552 "
Rashad Ross,WR,"$645,000",0-,"$10,000","$655,000 "
Alex Armah,FB,"$645,000",0-,0-,"$645,000 "
Bryan Cox,DE,"$645,000",0-,0-,"$645,000 "
Temarrick Hemingway,TE,"$645,000",0-,0-,"$645,000 "
DeAndrew White,WR,"$645,000",0-,0-,"$645,000 "
Jermaine Carter,ILB,"$570,000",0-,"$68,343","$638,343 "
Andre Smith,ILB,"$570,000",0-,"$22,264","$592,264 "
Jordan Scarlett,RB,"$495,000",0-,"$77,353","$572,353 "
Dillon Gordon,TE,"$570,000",0-,0-,"$570,000 "
Woodrow Hamilton,DT,"$570,000",0-,0-,"$570,000 "
Taylor Hearn,G,"$570,000",0-,0-,"$570,000 "
Kai Nacua,S,"$570,000",0-,0-,"$570,000 "
Efe Obada,DE,"$570,000",0-,0-,"$570,000 "
Elijah Qualls,DT,"$570,000",0-,0-,"$570,000 "
Jason Vander,TE,"$570,000",0-,0-,"$570,000 "
Antwione Williams,OLB,"$570,000",0-,0-,"$570,000 "
Dennis Daley,T,"$495,000",0-,"$31,838","$526,838 "
Terry Godwin,WR,"$495,000",0-,"$20,375","$515,375 "
Brandon Greene,T,"$495,000",0-,"$10,000","$505,000 "
Marcus Baugh,TE,"$495,000",0-,"$5,000","$500,000 "
Parker Collins,G,"$495,000",0-,"$5,000","$500,000 "
Kitt O'Brien,G,"$495,000",0-,"$5,000","$500,000 "
Kyle Allen,QB,"$495,000",0-,0-,"$495,000 "
Kofi Amichia,C,"$495,000",0-,0-,"$495,000 "
Corrion Ballard,CB,"$495,000",0-,0-,"$495,000 "
Quin Blanding,S,"$495,000",0-,0-,"$495,000 "
Reggie Bonnafon,RB,"$495,000",0-,0-,"$495,000 "
Jonathan Celestin,LB,"$495,000",0-,0-,"$495,000 "
Brandon Chubb,ILB,"$495,000",0-,0-,"$495,000 "
Elijah Holyfield,RB,"$495,000",0-,0-,"$495,000 "
Elijah Hood,RB,"$495,000",0-,0-,"$495,000 "
Cole Hunt,TE,"$495,000",0-,0-,"$495,000 "
Damion Jeanpiere,WR,"$495,000",0-,0-,"$495,000 "
Dorian Johnson,G,"$495,000",0-,0-,"$495,000 "
Jordan Kunaszyk,LB,"$495,000",0-,0-,"$495,000 "
Andre Levrone,WR,"$495,000",0-,0-,"$495,000 "
Cole Luke,CB,"$495,000",0-,0-,"$495,000 "
Damien Parms,S,"$495,000",0-,0-,"$495,000 "
Sione Teuhema,LB,"$495,000",0-,0-,"$495,000 "
Josh Thornton,CB,"$495,000",0-,0-,"$495,000 "
Ethan Wolf,TE,"$495,000",0-,0-,"$495,000 "
Brian Burns,DE,0-,0-,0-,0- 
Greg Little,T,0-,0-,0-,0- 
Chris Manhertz,TE,0-,0-,0-,0- 
Mose Frazier,WR,"$570,000",-,-,"$570,000 "
Brian Burns,DE,-,-,-,"$2,454,354 "
Greg Little,T,-,-,-,"$1,385,488 "
Will Grier,QB,-,-,-,"$685,379 "
Christian Miller,DE,-,-,-,"$678,551 "
Jordan Scarlett,RB,-,-,-,"$572,354 "
Dennis Daley,T,-,-,-,"$526,838 "
Terry Godwin,WR,-,-,-,"$515,375 "
Matt Kalil,LT,-,-,-,"$4,900,000 "
Captain Munnerlyn,CB,-,-,-,"$3,000,000 "
Da'Norris Searcy,SS,-,-,-,"$650,000 "
Daeshon Hall,DE,-,-,-,"$430,876 "
Kendrick Norton,DT,-,-,-,"$56,235 "
T.J. Barnes,DT,-,-,-,"$5,000 "
Thomas Duarte,TE,-,-,-,"$5,000 "
Brendan Mahon,G,-,-,-,"$4,166 "
Cole Luke,CB,-,-,-,"$3,334 "
Fred Ross,WR,-,-,-,"$3,334 "
Allen Robinson,WR,"$9,900,000","$3,000,000","$2,000,000","$15,000,000 "
Kyle Fuller,CB,"$1,000,000","$7,500,000","$4,500,000","$13,500,000 "
Khalil Mack,OLB,"$2,300,000","$200,000","$6,800,000","$11,900,000 "
Akiem Hicks,DE,"$8,000,000","$500,000","$1,500,000","$10,100,000 "
Prince Amukamara,CB,"$8,500,000",0-,"$1,000,000","$9,500,000 "
Charles Leno,LT,"$7,900,000",0-,"$900,000","$8,900,000 "
Trey Burton,TE,"$6,700,000",0-,"$1,750,000","$8,550,000 "
Mitchell Trubisky,QB,"$645,000","$2,459,311","$4,813,622","$7,917,933 "
Danny Trevathan,ILB,"$5,800,000","$500,000","$1,250,000","$7,650,000 "
Taylor Gabriel,WR,"$5,500,000",0-,"$1,000,000","$6,500,000 "
Chase Daniel,QB,"$4,000,000","$2,000,000",0-,"$6,000,000 "
Kyle Long,G,"$2,500,000","$1,500,000","$1,500,000","$5,600,000 "
Eddie Goldman,DT,"$2,250,000",0-,"$2,200,000","$5,300,000 "
Leonard Floyd,OLB,"$2,602,208",0-,"$2,419,611","$5,021,819 "
Cordarrelle Patterson,WR,"$3,000,000","$234,375","$1,000,000","$4,234,375 "
Roquan Smith,LB,"$1,319,871",0-,"$2,879,485","$4,199,356 "
Bobby Massie,RT,"$2,400,000",0-,"$1,300,000","$3,800,000 "
HaHa Clinton-Dix,FS,"$2,000,000","$500,000","$500,000","$3,250,000 "
Nick Kwiatkoski,ILB,"$2,025,000",0-,"$143,780","$2,168,780 "
Buster Skrine,CB,"$1,000,000",0-,"$1,100,000","$2,100,000 "
Mike Davis,RB,"$1,000,000",0-,"$1,000,000","$2,000,000 "
Sherrick McManis,CB,"$1,500,000","$187,500","$300,000","$1,987,500 "
Bradley Sowell,TE,"$1,450,000",0-,"$300,000","$1,800,000 "
Pat O'Donnell,P,"$1,250,000","$300,000","$100,000","$1,650,000 "
Adam Shaheen,TE,"$1,002,322",0-,"$609,643","$1,611,965 "
James Daniels,G,"$795,916",0-,"$783,665","$1,579,581 "
Aaron Lynch,DE,"$1,000,000","$203,125","$250,000","$1,453,125 "
Cody Whitehair,C,"$1,026,077",0-,"$318,103","$1,344,180 "
Anthony Miller,WR,"$723,350",0-,"$493,400","$1,216,750 "
Ben Braunecker,TE,"$750,000","$93,750","$150,000","$1,043,750 "
Jonathan Bullard,DE,"$820,000",0-,"$206,630","$1,026,630 "
Deon Bush,S,"$720,000",0-,"$131,556","$851,556 "
Eddie Jackson,S,"$645,000",0-,"$166,449","$811,449 "
Patrick Scales,LS,"$720,000",0-,"$90,000","$810,000 "
Tarik Cohen,RB,"$645,000",0-,"$158,914","$803,914 "
DeAndre Houston-Carson,S,"$720,000",0-,"$25,000","$770,000 "
Joel Iyiegbuniwe,ILB,"$570,000",0-,"$169,643","$739,643 "
Ted Larsen,G,"$930,000",0-,"$90,000","$735,000 "
Nick Williams,DT,"$805,000",0-,"$90,000","$735,000 "
Tyler Bray,QB,"$805,000",0-,"$21,400","$666,400 "
Riley Ridley,WR,"$495,000",0-,"$170,000","$665,000 "
Cornelius Lucas,RT,"$805,000",0-,0-,"$655,000 "
T.J. Clemmings,RT,"$805,000",0-,0-,"$645,000 "
Rashaad Coward,G,"$645,000",0-,0-,"$645,000 "
Marvin Hall,WR,"$645,000",0-,0-,"$645,000 "
Isaiah Irving,OLB,"$645,000",0-,0-,"$645,000 "
Taquan Mizzell,RB,"$645,000",0-,0-,"$645,000 "
Roy Robertson-Harris,DE,"$645,000",0-,0-,"$645,000 "
Bilal Nichols,DE,"$570,000",0-,"$74,870","$644,870 "
Kylie Fitts,DE,"$570,000",0-,"$43,050","$613,050 "
Javon Wims,WR,"$570,000",0-,"$23,978","$593,978 "
Kevin Toliver,CB,"$570,000",0-,"$5,000","$575,000 "
Tanner Gentry,WR,"$570,000",0-,0-,"$570,000 "
Kerrith Whyte,RB,"$495,000",0-,"$25,270","$520,270 "
Stephen Denmark,CB,"$495,000",0-,"$20,162","$515,162 "
Dax Raymond,TE,"$495,000",0-,"$5,000","$500,000 "
Chuck Harris,DE,"$495,000",0-,"$4,166","$499,166 "
Emanuel Hall,WR,"$495,000",0-,"$4,000","$499,000 "
Mathieu Betts,DE,"$495,000",0-,"$3,333","$498,333 "
Alex Bars,G,"$495,000",0-,"$1,666","$496,666 "
Ian Bunting,TE,"$495,000",0-,"$1,666","$496,666 "
Doyin Jibowu,CB,"$495,000",0-,"$1,666","$496,666 "
Marquez Tucker,G,"$495,000",0-,"$1,666","$496,666 "
Daryle Banfield,DT,"$495,000",0-,"$1,500","$496,500 "
Ellis Richardson,TE,"$495,000",0-,"$1,500","$496,500 "
Sam Mustipher,C,"$495,000",0-,"$1,166","$496,166 "
Blake Blackmar,G,"$495,000",0-,$833,"$495,833 "
Jonathan Harris,DT,"$495,000",0-,$833,"$495,833 "
Joe Lowery,T,"$495,000",0-,$833,"$495,833 "
John Wirtel,LS,"$495,000",0-,$833,"$495,833 "
Abdullah Anderson,DT,"$495,000",0-,0-,"$495,000 "
Jalen Dalton,DT,"$495,000",0-,0-,"$495,000 "
Clifton Duck,CB,"$495,000",0-,0-,"$495,000 "
John Franklin,CB,"$495,000",0-,0-,"$495,000 "
Elliott Fry,K,"$495,000",0-,0-,"$495,000 "
Jesper Horsted,WR,"$495,000",0-,0-,"$495,000 "
Thomas Ives,WR,"$495,000",0-,0-,"$495,000 "
Michael Joseph,CB,"$495,000",0-,0-,"$495,000 "
Jonathan Mincy,CB,"$495,000",0-,0-,"$495,000 "
Ryan Nall,RB,"$495,000",0-,0-,"$495,000 "
Eddy Piniero,K,"$495,000",0-,0-,"$495,000 "
Josh Simmons,CB,"$495,000",0-,0-,"$495,000 "
Jameer Thurman,LB,"$495,000",0-,0-,"$495,000 "
James Vaughters,DE,"$495,000",0-,0-,"$495,000 "
Jordan Williams-Lambert,WR,"$495,000",0-,0-,"$495,000 "
Josh Woods,LB,"$495,000",0-,0-,"$495,000 "
David Montgomery,RB,0-,0-,0-,0- 
Kevin Pierre-Louis,OLB,0-,0-,0-,0- 
Duke Shelley,S,0-,0-,0-,0- 
Jomon Dotson,S,"$378,000",-,"$1,666","$379,666 "
Rashard Fant,CB,"$495,000",-,$333,"$495,333 "
David Montgomery,RB,-,-,$333,"$755,548 "
Riley Ridley,WR,-,-,$333,"$664,999 "
Duke Shelley,S,-,-,$333,"$526,838 "
Kerrith Whyte,RB,-,-,$333,"$520,270 "
Stephen Denmark,CB,-,-,$333,"$515,162 "
Cody Parkey,K,"$3,500,000",-,$333,"$4,062,500 "
Dion Sims,TE,-,-,$333,"$333,334 "
Sam Acho,OLB,-,-,$333,"$250,000 "
Deiondre' Hall,CB,-,-,$333,"$191,586 "
Jordan Morgan,G,-,-,$333,"$148,018 "
Jordan Howard,RB,-,-,$333,"$62,007 "
Jonathan Mincy,CB,-,-,$333,"$10,000 "
Rashard Fant,CB,-,-,$333,$667 
Andrew Trumbetti,DE,-,-,$333,$667 
Andy Dalton,QB,"$16,000,000",0-,0-,"$16,200,000 "
A.J. Green,WR,"$11,976,000",0-,"$3,000,000","$15,176,000 "
Geno Atkins,DT,"$8,000,000","$3,700,000","$2,600,000","$14,600,000 "
Dre Kirkpatrick,CB,"$9,150,000","$203,125","$1,400,000","$10,953,125 "
Carlos Dunlap,DE,"$3,100,000","$4,500,000","$2,250,000","$10,350,000 "
Cordy Glenn,G,"$7,250,000","$2,000,000",0-,"$9,250,000 "
C.J. Uzomah,TE,"$1,500,000","$3,400,000","$1,083,333","$6,083,333 "
Bobby Hart,RT,"$900,000","$3,000,000","$1,000,000","$5,900,000 "
Clint Boling,G,"$4,850,000","$200,000","$500,000","$5,750,000 "
John Miller,G,"$900,000","$2,781,250","$1,333,333","$5,314,583 "
Preston Brown,ILB,"$900,000","$2,387,500","$833,333","$4,720,833 "
John Ross,WR,"$2,020,988",0-,"$2,646,975","$4,667,963 "
Giovani Bernard,RB,"$3,400,000","$150,000","$750,000","$4,500,000 "
Darqueze Dennard,CB,"$1,500,000","$203,125","$2,500,000","$4,453,125 "
Shawn Williams,SS,"$3,500,000","$250,000","$400,000","$4,450,000 "
Jonah Williams,T,"$495,000",0-,"$2,710,485","$3,205,485 "
Trey Hopkins,G,"$3,095,000",0-,0-,"$3,095,000 "
William Jackson,CB,"$1,773,497",0-,"$1,314,664","$3,088,161 "
Tyler Eifert,TE,"$1,000,000","$325,000","$1,200,000","$3,025,000 "
B.W. Webb,CB,"$1,000,000","$1,250,000","$500,000","$3,000,000 "
Kevin Huber,P,"$2,350,000",0-,"$350,000","$2,750,000 "
Billy Price,C,"$1,012,386",0-,"$1,649,543","$2,661,929 "
Nick Vigil,OLB,"$2,000,000",0-,"$173,908","$2,223,908 "
Randy Bullock,K,"$1,475,000",0-,"$250,000","$1,825,000 "
Alex Erickson,WR,"$1,400,000","$100,000","$166,666","$1,766,666 "
Joe Mixon,RB,"$960,470",0-,"$525,940","$1,486,410 "
Kerry Wynn,DT,"$900,000","$87,500","$300,000","$1,387,500 "
Tyler Boyd,WR,"$980,769",0-,"$324,358","$1,355,127 "
Jessie Bates,S,"$704,901",0-,"$419,602","$1,124,503 "
Clark Harris,LS,"$1,030,000",0-,"$60,000","$1,110,000 "
Drew Sample,TE,"$495,000",0-,"$506,145","$1,001,145 "
Jordan Willis,DE,"$754,750",0-,"$226,100","$980,850 "
Sam Hubbard,DE,"$640,000",0-,"$232,300","$872,300 "
Malik Jefferson,OLB,"$635,000",0-,"$230,932","$865,932 "
Andrew Billings,DT,"$720,000",0-,"$133,962","$853,962 "
Carl Lawson,OLB,"$645,000",0-,"$163,153","$808,153 "
Josh Malone,WR,"$645,000",0-,"$149,810","$794,810 "
Christian Westerman,G,"$720,000",0-,"$57,924","$777,924 "
Cody Core,WR,"$720,000",0-,"$31,983","$751,983 "
Ryan Glasgow,DT,"$645,000",0-,"$104,912","$749,912 "
Keivarae Russell,CB,"$720,000",0-,0-,"$745,000 "
Clayton Fejedelem,S,"$720,000",0-,"$15,889","$735,889 "
Jeff Driskel,QB,"$720,000",0-,0-,"$720,000 "
Christian Ringo,DT,"$720,000",0-,0-,"$720,000 "
Ryan Finley,QB,"$495,000",0-,"$197,414","$692,414 "
Jordan Evans,OLB,"$645,000",0-,"$39,126","$684,126 "
Renell Wren,DT,"$495,000",0-,"$169,925","$664,925 "
Mason Schreck,TE,"$645,000",0-,"$16,067","$661,067 "
Tony McRae,CB,"$645,000",0-,0-,"$645,000 "
Hardy Nickerson,ILB,"$645,000",0-,0-,"$645,000 "
Josh Tupou,DT,"$645,000",0-,0-,"$645,000 "
Brandon Wilson,S,"$645,000",0-,0-,"$645,000 "
Davontae Harris,CB,"$570,000",0-,"$72,143","$642,143 "
Darius Phillips,CB,"$570,000",0-,"$54,388","$624,388 "
Michael Jordan,G,"$495,000",0-,"$122,098","$617,098 "
Cethan Carter,TE,"$570,000",0-,"$3,334","$573,334 "
Demetrious Cox,S,"$570,000",0-,0-,"$570,000 "
Jordan Franks,TE,"$570,000",0-,0-,"$570,000 "
Niles Scott,DT,"$570,000",0-,0-,"$570,000 "
Hunter Sharp,WR,"$570,000",0-,0-,"$570,000 "
Auden Tate,WR,"$570,000",0-,0-,"$570,000 "
Trayveon Williams,RB,"$495,000",0-,"$45,322","$540,322 "
Rodney Anderson,RB,"$495,000",0-,"$31,839","$526,839 "
Deshaun Davis,LB,"$495,000",0-,"$31,839","$526,839 "
Jordan Brown,CB,"$495,000",0-,"$25,189","$520,189 "
Damion Willis,WR,"$495,000",0-,"$5,000","$500,000 "
Trayvon Henderson,S,"$495,000",0-,"$2,000","$497,000 "
Curtis Akins,LB,"$495,000",0-,0-,"$495,000 "
Moritz Boehringer,WR,"$495,000",0-,0-,"$495,000 "
Andrew Brown,DE,"$495,000",0-,0-,"$495,000 "
Ventell Bryant,WR,"$495,000",0-,0-,"$495,000 "
Anthony Chesley,CB,"$495,000",0-,0-,"$495,000 "
Noah Dawkins,LB,"$495,000",0-,0-,"$495,000 "
Jacob Dolegala,QB,"$495,000",0-,0-,"$495,000 "
O’Shea Dugas,T,"$495,000",0-,0-,"$495,000 "
Jordan Ellis,RB,"$495,000",0-,0-,"$495,000 "
Justin Evans,G,"$495,000",0-,0-,"$495,000 "
Quinton Flowers,RB,"$495,000",0-,0-,"$495,000 "
Darrin Hall,RB,"$495,000",0-,0-,"$495,000 "
Tyree Kinnel,S,"$495,000",0-,0-,"$495,000 "
Brad Lundblade,C,"$495,000",0-,0-,"$495,000 "
Stanley Morgan,WR,"$495,000",0-,0-,"$495,000 "
Kent Perkins,G,"$495,000",0-,0-,"$495,000 "
Sterling Sheffield,LB,"$495,000",0-,0-,"$495,000 "
Keaton Sutherland,T,"$495,000",0-,0-,"$495,000 "
Tristan Vizcaino,K,"$495,000",0-,0-,"$495,000 "
Levonte Whitfield,WR,"$495,000",0-,0-,"$495,000 "
Chris Worley,LB,"$495,000",0-,0-,"$495,000 "
Alex Redmond,G,"$493,236",0-,0-,"$493,236 "
John Jerry,G,0-,0-,0-,0- 
Germaine Pratt,LB,0-,0-,0-,0- 
Javarius Leamon,T,"$570,000",-,-,- 
Jonah Williams,T,-,-,-,"$3,195,154 "
Drew Sample,TE,-,-,-,"$999,215 "
Germaine Pratt,LB,-,-,-,"$757,216 "
Ryan Finley,QB,-,-,-,"$691,662 "
Renell Wren,DT,-,-,-,"$664,999 "
Michael Jordan,G,-,-,-,"$616,633 "
Trayveon Williams,RB,-,-,-,"$540,321 "
Deshaun Davis,LB,-,-,-,"$526,838 "
Rodney Anderson,RB,-,-,-,"$526,838 "
Jordan Brown,CB,-,-,-,"$520,189 "
Vontaze Burfict,OLB,-,-,-,"$1,806,250 "
George Iloka,FS,-,-,-,"$1,200,000 "
Mark Walton,RB,-,-,-,"$514,011 "
Ryan Hewitt,FB,-,-,-,"$375,000 "
Matt Barkley,QB,-,-,-,"$250,000 "
Andrew Brown,DE,-,-,-,"$208,810 "
Logan Woodside,QB,-,-,-,"$52,498 "
Auden Tate,WR,-,-,-,"$51,803 "
Rod Taylor,G,-,-,-,"$17,267 "
"Odell Beckham,",WR,"$16,750,000",0-,0-,"$17,000,000 "
Olivier Vernon,DE,"$15,250,000",0-,0-,"$15,500,000 "
Jarvis Landry,WR,"$12,500,000",0-,"$1,500,000","$14,050,000 "
Sheldon Richardson,DT,"$8,000,000",0-,"$1,666,667","$9,666,666 "
Damarious Randall,FS,"$9,069,000",0-,0-,"$9,069,000 "
Travis Carrie,CB,"$7,500,000","$400,000","$900,000","$8,900,000 "
Myles Garrett,DE,"$3,229,750",0-,"$5,064,501","$8,294,251 "
Christian Kirksey,ILB,"$7,000,000",0-,"$1,200,000","$8,200,000 "
Baker Mayfield,QB,"$570,000","$1,395,590","$5,462,360","$7,427,950 "
Chris Hubbard,RT,"$6,150,000","$250,000","$800,000","$7,300,000 "
J.C. Tretter,C,"$5,500,000","$250,000","$1,500,000","$7,250,000 "
Joel Bitonio,G,"$6,500,000","$500,000",0-,"$7,000,000 "
Greg Robinson,LT,"$5,500,000","$400,000","$500,000","$7,000,000 "
Denzel Ward,CB,"$1,805,698",0-,"$4,822,792","$6,628,490 "
Chris Smith,DE,"$2,750,000","$400,000","$1,166,666","$4,416,666 "
Drew Stanton,QB,"$2,650,000","$15,625","$1,000,000","$3,765,625 "
Terrance Mitchell,CB,"$2,500,000","$200,000","$666,666","$3,466,666 "
Duke Johnson,RB,"$1,800,000","$400,000","$750,000","$3,050,000 "
Britton Colquitt,P,"$2,700,000",0-,0-,"$2,700,000 "
David Njoku,TE,"$1,330,918",0-,"$1,266,835","$2,597,753 "
Morgan Burnett,SS,"$1,000,000","$171,875","$1,325,000","$2,596,875 "
Demetrius Harris,TE,"$1,250,000","$187,500","$1,000,000","$2,487,500 "
Joe Schobert,OLB,"$2,025,000",0-,"$158,489","$2,183,489 "
Adarius Taylor,ILB,"$1,350,000","$140,625","$500,000","$2,040,625 "
Rashard Higgins,WR,"$2,025,000",0-,0-,"$2,025,000 "
Eric Murray,CB,"$2,015,500",0-,0-,"$2,025,000 "
Carl Davis,DT,"$1,500,000",0-,"$400,000","$2,000,000 "
Austin Corbett,G,"$821,745",0-,"$896,000","$1,717,745 "
Kendall Lamm,RT,"$1,200,000","$187,500","$300,000","$1,687,500 "
Nick Chubb,RB,"$815,595",0-,"$862,381","$1,677,976 "
Ray-Ray Armstrong,ILB,"$1,000,000","$93,750","$400,000","$1,543,750 "
Eric Kush,G,"$1,100,000",0-,"$350,000","$1,525,000 "
Greedy Williams,CB,"$495,000",0-,"$679,305","$1,174,305 "
Larry Ogunjobi,DT,"$820,200",0-,"$245,391","$1,065,591 "
Kareem Hunt,RB,"$645,000","$275,000",0-,"$975,000 "
Chad Thomas,DE,"$665,000",0-,"$262,235","$927,235 "
Bryan Witzmann,G,"$720,000",0-,"$175,000","$920,000 "
Seth Devalve,TE,"$720,000",0-,"$95,849","$815,849 "
Charley Hughlett,LS,"$805,000",0-,0-,"$805,000 "
Antonio Callaway,WR,"$570,000",0-,"$179,463","$749,463 "
Sione Takitaki,LB,"$495,000",0-,"$240,219","$735,219 "
Phillip Gaines,CB,"$805,000",0-,"$45,000","$735,000 "
Juston Burris,CB,"$720,000",0-,0-,"$720,000 "
Brian Price,DT,"$720,000",0-,0-,"$720,000 "
Jaelen Strong,WR,"$720,000",0-,0-,"$720,000 "
Anthony Zettel,DE,"$720,000",0-,0-,"$720,000 "
Sheldrick Redwine,S,"$495,000",0-,"$180,102","$675,102 "
Orson Charles,FB,"$805,000",0-,0-,"$645,000 "
Trevon Coley,DT,"$645,000",0-,0-,"$645,000 "
Kyle Kalis,T,"$645,000",0-,0-,"$645,000 "
Lenzy Pipkins,CB,"$645,000",0-,0-,"$645,000 "
Jermaine Whitehead,FS,"$645,000",0-,0-,"$645,000 "
Genard Avery,ILB,"$570,000",0-,"$72,236","$642,236 "
Garrett Gilbert,QB,"$570,000",0-,"$37,500","$632,500 "
Damion Ratley,WR,"$570,000",0-,"$48,466","$618,466 "
Mack Wilson,LB,"$495,000",0-,"$77,201","$572,201 "
Derrick Willies,WR,"$570,000",0-,$833,"$570,833 "
Pharaoh Brown,TE,"$570,000",0-,0-,"$570,000 "
Dontrell Hilliard,RB,"$570,000",0-,0-,"$570,000 "
Greg Joseph,K,"$570,000",0-,0-,"$570,000 "
Devaroe Lawrence,DT,"$570,000",0-,0-,"$570,000 "
Tavierre Thomas,S,"$570,000",0-,0-,"$570,000 "
Austin Seibert,K,"$495,000",0-,"$65,114","$560,114 "
Drew Forbes,G,"$495,000",0-,"$42,334","$537,334 "
Donnie Lewis,CB,"$495,000",0-,"$25,481","$520,481 "
David Blough,QB,"$495,000",0-,"$6,666","$501,666 "
Jarrell Owens,DE,"$495,000",0-,"$5,000","$500,000 "
Wyatt Ray,DE,"$495,000",0-,"$5,000","$500,000 "
Willie Wright,C,"$495,000",0-,"$5,000","$500,000 "
Jamie Gillan,P,"$495,000",0-,"$3,333","$498,333 "
Dedrick Young,LB,"$495,000",0-,"$2,500","$497,500 "
J.T. Hassell,S,"$495,000",0-,"$2,333","$497,333 "
